"id","move_id/id","partner_id","partner_id/vat","tax_tag_ids","debit","credit","date","ref","invoice_date","account_id","journal_id","name","matching_number","move_name","tax_line_id","tax_ids","move_id","move_id/l10n_bg_document_type","move_id/move_type","company_id/vat","company_id"
"__export__.account_move_line_4596_0224f7aa","__export__.account_move_1321_3444b803","CPC Business Services Limited","IE8211712I","'+12_1,+31","1755.36","0.0","2025-10-31","INV-10117","2025-10-01","60213 Суми по договор с подизпълнител 31140","Vendor Bills","CPC Business Services - 2025-05-02","","BILL/2025/10/0019","","20% EU FTC","BILL/2025/10/0019 (INV-10117)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_4750_64a6b956","__export__.account_move_1321_3444b803","CPC Business Services Limited","IE8211712I","'+41","351.07","0.0","2025-10-31","INV-10117","2025-10-01","453100 Vat purchases","Vendor Bills","20% EU FTC","","BILL/2025/10/0019","20% EU FTC","","BILL/2025/10/0019 (INV-10117)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_4751_6caab960","__export__.account_move_1321_3444b803","CPC Business Services Limited","IE8211712I","'+22","0.0","351.07","2025-10-31","INV-10117","2025-10-01","453200 Vat sales","Vendor Bills","20% EU FTC","","BILL/2025/10/0019","20% EU FTC","","BILL/2025/10/0019 (INV-10117)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_4717_4f24142b","__export__.account_move_1342_bbb45856","solar energy ltd","9999999999","'+18","0.0","381386.85","2025-10-10","","2025-10-10","701000 Revenues from sales of products","Customer Invoices","test
услуга","","0000000012","","0% 69 art.","0000000012","01","Customer Invoice","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_2029_07c5ab62","__export__.account_move_942_de462b9e","Odoo S.A.","BE0477472701","'+12_1,+31","2436.18","0.0","2025-10-01","2025/07/005465","2025-07-07","602001 Софтуерни абонаменти","Vendor Bills","Custom Plan","","BILL/2025/10/0018","","20% EU FTC","BILL/2025/10/0018 (2025/07/005465)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_4522_ae89edab","__export__.account_move_942_de462b9e","Odoo S.A.","BE0477472701","'+41","487.24","0.0","2025-10-01","2025/07/005465","2025-07-07","453100 Vat purchases","Vendor Bills","20% EU FTC","","BILL/2025/10/0018","20% EU FTC","","BILL/2025/10/0018 (2025/07/005465)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_4526_25f165bb","__export__.account_move_942_de462b9e","Odoo S.A.","BE0477472701","'+22","0.0","487.24","2025-10-01","2025/07/005465","2025-07-07","453200 Vat sales","Vendor Bills","20% EU FTC","","BILL/2025/10/0018","20% EU FTC","","BILL/2025/10/0018 (2025/07/005465)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_2257_97879e4c","__export__.account_move_982_02e4d159","MAKSI-I","BG127041392","'+30","4693.99","0.0","2025-10-01","3000023386","2025-08-01","60212 Наеми 31130","Vendor Bills","Макси І АД - 2025-08-01","","BILL/2025/10/0017","","0% OTC EXEMPT","BILL/2025/10/0017 (3000023386)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_1989_d9b18b75","__export__.account_move_938_7939d733","BL CONSULTING EOOD","BG131071078","'+31","1955.83","0.0","2025-10-01","9900000478","2025-07-02","60219 Консултантски дейности 31190","Vendor Bills","БЛ Консултинг ЕООД - 2025-07-02","","BILL/2025/10/0016","","20% FTC","BILL/2025/10/0016 (9900000478)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
"__export__.account_move_line_1991_2c05cb16","__export__.account_move_938_7939d733","BL CONSULTING EOOD","BG131071078","'+41","391.17","0.0","2025-10-01","9900000478","2025-07-02","453100 Vat purchases","Vendor Bills","20% FTC","","BILL/2025/10/0016","20% FTC","","BILL/2025/10/0016 (9900000478)","01","Vendor Bill","BG207183517","SIGMA SOLAR LTD"
